Year ,Month,Day,MaxTempC,MinTempC,
2016,11,19,2.73,-3.197,
2016,11,20,4.207,-1.57,
2016,11,21,6.37,-1.001,
2016,11,22,3.367,-3.079,
2016,11,23,5.962,-1.114,
2016,11,24,3.049,-4.152,
2016,11,25,6.674,-2.494,
2016,11,26,3.683,-4.031,
2016,11,27,5.244,-2.61,
2016,11,28,4.519,-0.549,
2016,11,29,2.943,-4.272,
2016,11,30,-1.228,-5.62,
2016,12,1,1.656,-2.844,
2016,12,2,0.674,-3.079,
2016,12,3,4.934,-1.456,
2016,12,4,1.003,-4.272,
2016,12,5,-3.316,-11.487,
2016,12,6,-6.373,-10.916,
2016,12,7,-3.553,-14.178,
2016,12,8,-8.58,-16.098,
2016,12,9,-5.62,-9.525,
2016,12,10,-0.437,-5.62,
2016,12,11,-1.57,-8.182,
2016,12,12,-0.662,-9.525,
2016,12,13,-6.246,-14.806,
2016,12,14,-6.754,-13.562,
2016,12,15,-2.844,-7.657,
2016,12,16,-2.261,-14.49,
2016,12,17,-14.023,-22.911,
2016,12,18,-12.509,-23.119,
2016,12,19,-7.787,-18.142,
2016,12,20,2.517,-8.847,
2016,12,21,-6.882,-17.446,
2016,12,22,-9.799,-19.217,
2016,12,23,-9.799,-18.854,
2016,12,24,-2.145,-13.107,
2016,12,25,-1.456,-5.62,
2016,12,26,-5.496,-15.446,
2016,12,27,-3.079,-12.068,
2016,12,28,-0.213,-14.648,
2016,12,29,-5.249,-15.77,
2016,12,30,-4.031,-12.956,
2016,12,31,-9.252,-17.792,
2017,1,1,-10.634,-19.77,
2017,1,2,-7.267,-16.597,
2017,1,3,-7.918,-17.274,
2017,1,4,-8.58,-19.956,
2017,1,5,-15.77,-24.187,
2017,1,6,-15.124,-23.329,
2017,1,7,-13.715,-25.299,
2017,1,8,-6.373,-13.715,
2017,1,9,4.311,-6.882,
2017,1,10,-1.114,-7.397,
2017,1,11,1.112,-6.626,
2017,1,12,-6.882,-19.584,
2017,1,13,-8.447,-22.092,
2017,1,14,-13.409,-23.541,
2017,1,15,-14.965,-25.757,
2017,1,16,-14.178,-25.757,
2017,1,17,-12.068,-22.498,
2017,1,18,-6.246,-17.792,
2017,1,19,-0.437,-7.918,
2017,1,20,1.003,-10.075,
2017,1,21,-0.549,-9.388,
2017,1,22,-1.914,-10.774,
2017,1,23,-3.672,-6.754,
2017,1,24,-1.456,-11.776,
2017,1,25,-5.003,-13.258,
2017,1,26,-2.261,-11.922,
2017,1,27,-5.496,-16.934,
2017,1,28,15.473,-17.966,
2017,1,29,-4.393,-15.77,
2017,1,30,-2.03,-11.776,
2017,1,31,-0.213,-4.88,
2017,2,1,0.232,-5.62,
2017,2,2,-4.758,-13.562,
2017,2,3,-4.393,-10.916,
2017,2,4,3.788,-5.87,
2017,2,5,8.879,0.343,
2017,2,6,6.166,0.232,
2017,2,7,1.656,-3.316,
2017,2,8,5.347,-2.03,
2017,2,9,4.102,0.784,
2017,2,10,9.176,-0.325,
2017,2,11,5.244,-6.499,
2017,2,12,0.343,-10.214,
2017,2,13,1.98,-10.634,
2017,2,14,2.624,-10.493,
2017,2,15,4.415,-10.493,
2017,2,16,6.573,0.232,
2017,2,17,7.582,-0.437,
2017,2,18,7.782,0.453,
2017,2,19,8.581,0.453,
2017,2,20,6.064,0.121,
2017,2,21,6.775,1.112,
2017,2,22,6.877,-0.325,
2017,2,23,1.112,-3.079,
2017,2,24,1.221,-4.031,
2017,2,25,0.453,-8.314,
2017,2,26,1.439,-7.01,
2017,2,27,2.41,-6.499,
2017,2,28,1.003,-7.01,
2017,3,1,7.682,-3.792,
2017,3,2,5.552,-7.01,
2017,3,3,12.69,-4.152,
2017,3,4,6.268,1.003,
2017,3,5,4.102,-1.684,
2017,3,6,3.788,-5.249,
2017,3,7,4.934,-4.031,
2017,3,8,9.768,0.784,
2017,3,9,10.944,1.872,
2017,3,10,14.23,1.221,
2017,3,11,9.866,-2.145,
2017,3,12,14.038,-0.662,
2017,3,13,14.134,1.003,
2017,3,14,18.331,3.683,
2017,3,15,19.567,1.548,
2017,3,16,13.461,3.367,
2017,3,17,17.189,-1.57,
2017,3,18,18.711,1.764,
2017,3,19,10.455,4.519,
2017,3,20,10.55555556,2.222222222,
2017,3,21,12.77777778,3.333333333,
2017,3,22,17.22222222,0.555555556,
2017,3,23,15.55555556,4.444444444,
2017,3,24,14.44444444,-1.111111111,
2017,3,25,15,1.111111111,
2017,3,26,12.77777778,-1.666666667,
2017,3,27,12.22222222,1.111111111,
2017,3,28,10,1.111111111,
2017,3,29,13.33333333,0,
2017,3,30,12.22222222,3.333333333,
2017,3,31,6.666666667,1.111111111,
2017,4,1,12.22222222,-0.555555556,
2017,4,2,15.55555556,5.555555556,
2017,4,3,12.22222222,-2.222222222,
2017,4,4,6.666666667,-3.888888889,
2017,4,5,12.77777778,0,
2017,4,6,18.33333333,3.333333333,
2017,4,7,18.33333333,3.888888889,
2017,4,8,12.77777778,1.111111111,
2017,4,9,10.55555556,0,
2017,4,10,10,-2.777777778,
2017,4,11,10.55555556,-3.888888889,
2017,4,12,13.33333333,-3.888888889,
2017,4,13,20,4.444444444,
2017,4,14,10.55555556,1.666666667,
2017,4,15,7.777777778,-3.888888889,
2017,4,16,10,-2.222222222,
2017,4,17,17.77777778,4.444444444,
2017,4,18,15.55555556,6.111111111,
2017,4,19,15,1.111111111,
2017,4,20,16.66666667,1.666666667,
2017,4,21,12.22222222,0.555555556,
2017,4,22,10.55555556,-1.666666667,
2017,4,23,20,-0.555555556,
2017,4,24,12.22222222,2.777777778,
2017,4,25,12.77777778,2.222222222,
2017,4,26,13.88888889,3.888888889,
2017,4,27,11.66666667,2.222222222,
2017,4,28,8.888888889,2.222222222,
2017,4,29,11.11111111,-2.222222222,
2017,4,30,17.77777778,0,
2017,5,1,15.55555556,3.333333333,
2017,5,2,16.11111111,4.444444444,
2017,5,3,18.33333333,0.555555556,
2017,5,4,18.88888889,3.333333333,
2017,5,5,29.44444444,5.555555556,
2017,5,6,26.11111111,6.111111111,
2017,5,7,22.22222222,8.333333333,
2017,5,8,10.55555556,-0.555555556,
2017,5,9,21.66666667,0.555555556,
2017,5,10,23.88888889,3.333333333,
2017,5,11,27.22222222,5,
2017,5,12,27.22222222,6.111111111,
2017,5,13,19.44444444,1.666666667,
2017,5,14,10.55555556,1.111111111,
2017,5,15,15,2.222222222,
2017,5,16,17.22222222,1.111111111,
2017,5,17,13.88888889,0,
2017,5,18,5.555555556,0.555555556,
2017,5,19,16.11111111,3.333333333,
2017,5,20,20,5,
2017,5,21,18.33333333,3.333333333,
2017,5,22,25,5,
2017,5,23,27.22222222,6.111111111,
2017,5,24,29.44444444,7.777777778,
2017,5,25,20,3.888888889,
2017,5,26,18.33333333,6.111111111,
2017,5,27,20.55555556,4.444444444,
2017,5,28,25,5.555555556,
2017,5,29,28.88888889,6.666666667,
2017,5,30,30,7.777777778,
2017,5,31,31.11111111,8.888888889,
2017,6,1,32.77777778,13.33333333,
2017,6,2,21.66666667,7.777777778,
2017,6,3,26.11111111,6.666666667,
2017,6,4,30,8.888888889,
2017,6,5,31.66666667,7.222222222,
2017,6,6,25,6.111111111,
