"","spring_name","site_type","year","max_ndvi","max_ndvi_doy","amplitude_ndvi","dur_80th_ndvi","sos_doy_ndvi","eos_doy_ndvi","gsl_ndvi"
"90%52","Artemis","Spring","2024",0.651562031879091,180.982857142857,0.282352029489744,32.8,141.622857142857,243.771428571429,102.148571428571
"90%53","Artemis","Matrix","2024",0.448302691642811,175.36,0.188142516952295,32.8,143.497142857143,241.897142857143,98.4
"90%54","Complex 2","Spring","2024",0.681807017790818,169.737142857143,0.302943742740696,32.8,136,242.834285714286,106.834285714286
"90%55","Complex 2","Matrix","2024",0.512493305272634,163.177142857143,0.223620563534349,32.8,136,201.6,65.6
"90%56","Complex 3","Spring","2024",0.691705134814534,169.737142857143,0.307282574771121,32.8,136,240.96,104.96
"90%57","Complex 3","Matrix","2024",0.567065304814959,164.114285714286,0.238210509556201,32.8,136,209.097142857143,73.0971428571428
"90%58","Heleport","Spring","2024",0.719945443694886,184.731428571429,0.30190330740919,32.8,154.742857142857,249.394285714286,94.6514285714286
"90%59","Heleport","Matrix","2024",0.604990972327486,174.422857142857,0.211094482996654,32.8,150.057142857143,239.085714285714,89.0285714285714
"90%60","East Pioneer","Spring","2024",0.645194778326578,193.165714285714,0.187363025541287,32.8,136,247.52,111.52
"90%61","East Pioneer","Matrix","2024",0.451048587227355,165.988571428571,0.198007256422928,32.8,138.811428571429,199.725714285714,60.9142857142857
"90%62","Salix","Spring","2024",0.767746529902093,177.234285714286,0.325109371844902,32.8,145.371428571429,239.085714285714,93.7142857142857
"90%63","Salix","Matrix","2024",0.608723373964163,164.114285714286,0.249073756805257,32.8,136,230.651428571429,94.6514285714286
"90%64","North Pioneer","Spring","2024",0.791554553439655,183.794285714286,0.307137459311366,54.3542857142857,151.931428571429,245.645714285714,93.7142857142857
"90%65","North Pioneer","Matrix","2024",0.652133324788197,175.36,0.197582304019535,32.8,148.182857142857,235.337142857143,87.1542857142857
"90%66","Cave","Spring","2024",0.695417818317683,188.48,0.254559353246171,32.8,155.68,250.331428571429,94.6514285714286
"90%67","Cave","Matrix","2024",0.536121268198726,175.36,0.183188811922972,32.8,150.057142857143,246.582857142857,96.5257142857143
"90%68","Aspens","Spring","2024",0.750578754760355,183.794285714286,0.336569667744272,54.3542857142857,150.057142857143,266.262857142857,116.205714285714
"90%69","Aspens","Matrix","2024",0.471390114754669,166.925714285714,0.169807293761409,32.8,136,232.525714285714,96.5257142857143
"90%70","Bog","Spring","2024",0.697309278859161,206.948571428571,0.443857516688181,35.4,161.434285714286,277.748571428571,116.314285714286
"90%71","Bog","Matrix","2024",0.472143723934246,217.062857142857,0.313770167037064,59.6742857142858,157.388571428571,287.862857142857,130.474285714286
"90%72","Picea","Spring","2024",0.719777855530771,205.937142857143,0.502768438405765,35.4,163.457142857143,279.771428571429,116.314285714286
"90%73","Picea","Matrix","2024",0.526571563770825,203.914285714286,0.36385098566518,64.7314285714286,160.422857142857,291.908571428571,131.485714285714
"90%74","Calf","Spring","2024",0.608982077535098,191.777142857143,0.30193837140013,35.4,156.377142857143,274.714285714286,118.337142857143
"90%75","Calf","Matrix","2024",0.476860721895182,184.697142857143,0.207442863728,35.4,152.331428571429,266.622857142857,114.291428571429
"90%76","Big Slump","Spring","2024",0.713857904636812,214.028571428571,0.272375798298289,35.4,157.388571428571,278.76,121.371428571429
"90%77","Big Slump","Matrix","2024",0.471367212473227,236.28,0.144314310473789,35.4,153.342857142857,276.737142857143,123.394285714286
"90%78","Lobauer","Spring","2024",0.77375797971995,164.468571428571,0.33096084936873,35.4,123,262.577142857143,139.577142857143
"90%79","Lobauer","Matrix","2024",0.462810258515584,148.285714285714,0.193625743320961,35.4,123,228.188571428571,105.188571428571
